u_id,page_1_attention,page_2_attention,page_3_attention,page_4_attention,page_5_attention,page_6_attention
2,1,1,1,1,1,1
2001,1,1,1,1,1,1
2002,1,0,1,1,1,1
2003,1,1,1,1,1,1
2004,0,1,1,1,1,1
2005,0,1,1,1,1,1
2006,1,1,1,1,1,1
3001,1,1,1,1,1,1
3002,1,1,1,1,1,1
3003,1,0,1,1,1,1
3004,1,1,1,1,1,1
3007,1,1,1,1,1,1
3008,1,1,1,1,1,1
3009,1,1,1,1,1,1
3010,1,1,1,1,1,1
3011,1,1,1,1,1,1
4001,1,1,1,1,1,1
4002,1,1,1,1,1,1
4003,1,1,1,1,1,1
4004,1,0,1,1,0,1
4005,1,1,1,1,1,1
4006,1,1,1,1,1,1
4007,1,1,1,1,1,1
4008,1,1,1,1,1,1
4009,1,1,1,1,1,1
4010,1,1,1,1,1,1
4011,1,1,1,1,1,1
4012,1,1,1,1,1,0
