u_id,page_1_score,page_2_score,page_3_score,page_4_score,page_5_score,page_6_score
2,1,1,0.8,0.6,0.8,0.8
2001,1,0.8,0.8,1,0.6,0.8
2002,1,1,0.8,0.6,1,0.8
2003,1,0.8,0.6,0.8,0.8,0.8
2004,1,0.4,1,1,0.8,0.8
2005,0.4,0.6,0.6,0.2,0.8,0.6
2006,0.8,1,0.8,1,0.8,0.8
3001,0.8,1,0.6,1,0.8,0.6
3002,0.8,0.8,0.6,1,0.8,0.8
3003,0.6,0.8,0.8,0.4,0.8,0.6
3004,0.8,0.8,1,0.8,0.8,1
3007,1,1,0.6,1,0.8,1
3008,0.8,1,1,1,0.8,1
3009,0.8,1,0.8,0.6,1,1
3010,0.8,1,0.4,0.4,0.4,0.6
3011,1,1,0.8,1,0.6,1
4001,0.6,0.6,0.4,0.4,0.8,1
4002,0.6,0.6,0.6,0.6,0.8,0.2
4003,0.8,0.8,0.6,0.4,0.6,0.6
4004,0.6,0.4,0.6,0.6,0.4,0.2
4005,1,0.8,0.8,1,0.8,0.75
4006,1,0.6,1,0.8,1,1
4007,1,0.6,0.8,0.8,0.8,1
4008,1,0.8,0.8,1,0.6,0.8
4009,1,1,0.8,0.8,1,0.8
4010,0.8,0.8,0.4,0.6,1,0.4
4011,0.8,0.8,0.8,0.4,0.6,0.6
4012,1,0.8,0.8,0.6,0.8,0.6
